global_step,eval_loss,train_loss
10000,1.4198304221786795,1.5254147052764893
20000,1.3075079247654362,1.612766146659851
30000,1.2515183293086936,1.0179194211959839
40000,1.2199012311982196,1.2202425003051758
44025,1.2061779073100833,1.3951166868209839
50000,1.2132865654212208,0.9410842657089233
60000,1.1853036380223338,1.275216817855835
70000,1.1707144192811416,0.7730084657669067
80000,1.167086869511776,1.1317206621170044
88050,1.1630712623261275,0.5123617649078369
90000,1.1944464866650832,0.9641982913017273
100000,1.1743686422303048,0.7603564858436584
110000,1.1759414034794187,0.4110783338546753
120000,1.1773653494833738,0.8811721205711365
130000,1.1910737117998569,0.7498822212219238
132075,1.1973939169697256,0.5539129972457886
140000,1.2474077243849864,0.6012515425682068
150000,1.2412825054531014,0.8882085084915161
160000,1.2347205915853237,0.8412117958068848
170000,1.2421402504641104,0.5597918629646301
