global_step,eval_loss,train_loss
10000,2.9659077961401445,3.608826160430908
20000,2.827986258519798,2.700514316558838
30000,2.7371466422572057,2.8383841514587402
40000,2.6803733015304343,2.7096965312957764
40251,2.6765680418119615,3.673725128173828
50000,2.6648791492527963,2.3812906742095947
60000,2.642284287949371,2.5942249298095703
70000,2.631100925998213,2.4612202644348145
80000,2.6290096457512373,2.0922536849975586
80502,2.628793905879842,2.40456223487854
90000,2.709665435914179,1.5968549251556396
100000,2.7030271591743906,1.9825537204742432
110000,2.6982462359577206,2.0926594734191895
120000,2.7370025372105458,1.9541387557983398
120753,2.7251129064669324,1.4893159866333008
130000,2.864106349178278,1.5023988485336304
140000,2.8197094902546636,1.6805397272109985
150000,2.8454374432273655,1.5945287942886353
160000,2.883698791096248,1.6380008459091187
161004,2.884774092112723,1.241870641708374
