global_step,eval_loss,train_loss
10000,1.2823443845977103,1.3971854448318481
20000,1.1965091251519993,1.2527142763137817
30000,1.1512047614624046,0.915404200553894
40000,1.1107662192316,0.8521621823310852
42529,1.1049530953074773,0.7746341824531555
50000,1.108504905747205,0.9159585237503052
60000,1.0891486892016073,0.9153491258621216
70000,1.0789605098846857,1.0349054336547852
80000,1.0675977438411006,0.9438115954399109
85058,1.0668292702539126,0.8371527791023254
90000,1.0874548101583001,1.003331184387207
100000,1.0870628732696415,1.0341441631317139
110000,1.0899426035461948,0.8208416700363159
120000,1.0895319072514147,0.5915513634681702
127587,1.094809146896425,0.77735435962677
