global_step,eval_loss,train_loss
10000,1.3506504983107608,1.9362579584121704
20000,1.1689867284353284,2.0011544227600098
30000,1.1459437111416713,1.2018712759017944
40000,1.1347926546465248,1.5900094509124756
44025,1.1192379163635189,1.0960066318511963
50000,1.1220661645969587,0.8010000586509705
60000,1.0954711275665963,1.6846083402633667
70000,1.0857373466024387,1.0785969495773315
80000,1.0796011598478494,0.9870517253875732
88050,1.0664966767612647,1.2061643600463867
90000,1.087879343816606,0.9416208267211914
100000,1.0930459056803243,0.5974274277687073
110000,1.0823574366170894,0.8228697180747986
120000,1.0861429619347116,0.878170371055603
130000,1.0875752632347133,0.5512705445289612
132075,1.0879991312313166,0.8893569707870483
