global_step,eval_loss,train_loss
10000,2.655650669010734,2.4834208488464355
20000,2.5316629733145506,3.2916646003723145
30000,2.463773247947215,2.0254359245300293
40000,2.3990900483387363,2.588233232498169
40251,2.395779313365468,1.9244635105133057
50000,2.405541792812811,1.8454340696334839
60000,2.381867719731912,1.872467041015625
70000,2.372054279849876,1.867979645729065
80000,2.364174478751315,1.6794240474700928
80502,2.366770828320397,1.710279107093811
90000,2.4437410106567814,1.6395490169525146
100000,2.4295073727191796,1.9088802337646484
110000,2.443230962063442,1.376247525215149
120000,2.443168232094195,1.5956802368164062
120753,2.440023639778823,1.5122820138931274
